Word,Transcribed,Wer Error,Score
jern, Bjørn,0.4,3
jern," Ja, en",0.8333333333333334,5
jern, Ja,2.0,4
jern, bjørn?,0.5,4
jern, Ja,2.0,5
jern, Jern,0.25,5
jern, Ja..,1.0,4
jern, Ja,2.0,3
jern, Ja,2.0,3
jern, Hjern,0.2,5
jern, Jarn,0.5,4
jern, Jerna,0.4,3
jern, Jern,0.25,5
jern, Jan..,1.0,4
jern, Jeg..,0.8,4
jern, Jern,0.25,4
jern, Jern,0.25,5
jern, Hjelm..,0.7142857142857143,5
jern, jan?,0.75,4
jern, Jørn,0.5,2
lytte, Litt,0.75,3
lytte, Lytte,0.2,3
lytte, Litt,0.75,4
lytte, Litt,0.75,5
lytte, Litt,0.75,5
lytte, Litt,0.75,3
lytte, Lytte,0.2,4
lytte, lydig?,0.6666666666666666,3
lytte, Lytte,0.2,4
lytte, Flytte,0.16666666666666666,3
lytte, Lytte,0.2,5
lytte, Lytte..,0.42857142857142855,5
lytte, Litt,0.75,4
lytte, Litt,0.75,4
lytte, Litt tøff,0.7777777777777778,4
lytte, Lydde,0.6,4
lytte, Nytte,0.2,3
lytte, Nitten,0.5,5
lytte, Lytte,0.2,5
lytte," Litt, da",0.75,3
lytte, Litt,0.75,3
lytte, Litt,0.75,4
lytte, Litt,0.75,4
lytte, Hun lytter,0.5,4
lytte, En liten..,0.8,3
lytte, Lytte,0.2,5
lytte, Riket,1.0,3
lytte, Lytte,0.2,4
lytte, Lytte,0.2,4
lytte, Litt,0.75,5
lytte, Litt,0.75,3
lytte, Litt,0.75,4
lytte, Litt,0.75,4
lytte, Lytte,0.2,4
lytte, Litt,0.75,5
lytte, Lytte,0.2,5
lytte, Lytte,0.2,4
lytte, Litt,0.75,3
lytte, Litt,0.75,4
lytte, Litt til,0.75,3
lytte, Lytte,0.2,4
lytte, lytte?,0.16666666666666666,4
lytte, Ligge,0.8,3
lytte, Litt,0.75,4
lytte, Lytte,0.2,5
lytte, Litt,0.75,4
lytte, Ikke..,1.0,4
lytte, Litt,0.75,3
lytte, Litt,0.75,3
lytte, Litt,0.75,4
lytte, Lytte,0.2,5
lytte, Lytte,0.2,5
barn, Barn,0.25,3
barn, Barn,0.25,4
barn, Barn,0.25,4
barn, Barn,0.25,5
barn, Bar,0.6666666666666666,3
barn, Barn,0.25,4
barn, Barn,0.25,5
barn, Band,0.75,3
barn, Bang,0.75,4
barn, Barn..,0.5,5
barn, Barn,0.25,5
barn, Barn,0.25,5
barn, Kvakk,0.8,2
barn, Barn..,0.5,5
barn, Dal,1.0,5
barn, Dal,1.0,5
barn, Nei,1.3333333333333333,4
barn, hva er du?,0.8,4
barn, Nei,1.3333333333333333,3
barn, Vann,0.5,2
barn, Barn..,0.5,2
barn, Barn..,0.5,5
barn, Barn,0.25,3
barn, Barn,0.25,5
barn, Barn,0.25,3
barn, Barn..,0.5,3
barn, Barn,0.25,4
barn, Baren,0.4,3
barn, Barn..,0.5,5
barn, Barn,0.25,5
barn, Barn,0.25,5
barn, Bæren,0.6,4
barn, Barn,0.25,5
barn, Barn..,0.5,4
barn, Barn,0.25,3
barn, barn?,0.2,3
barn, Da..,0.75,5
barn, Ball,0.75,5
barn, Da..,0.75,4
barn, Band,0.75,3
barn, Park,0.5,2
barn, Barn..,0.5,5
barn, Barn,0.25,5
barn, Bæi,1.3333333333333333,5
barn, Barn,0.25,4
barn, barn?,0.2,5
barn, du!,1.3333333333333333,3
barn, Barn,0.25,5
barn, Vel..,1.0,4
barn, Barn,0.25,4
lun, Lund,0.5,5
lun, Lom,1.0,3
lun, Lun,0.3333333333333333,4
lun, Løen,0.75,3
lun, Lone,0.75,3
lun, Lyr,1.0,3
lun, Null,0.75,4
lun, Lund,0.5,5
lun, Lund,0.5,4
lun, Hylling,0.7142857142857143,4
lun, lund?,0.4,4
lun, Lyn,0.6666666666666666,5
lun, Lund,0.5,4
lun, Lol,1.0,3
lun, Ly,1.5,4
lun, Lyn,0.6666666666666666,3
lun, Luen..,0.6666666666666666,5
lun, Ly,1.5,3
lun, Lun,0.3333333333333333,5
lun, Lon,0.6666666666666666,3
enhjørning, Enhjørning,0.1,5
enhjørning, Enhjørnen..,0.36363636363636365,4
enhjørning, en hjørning?,0.16666666666666666,4
enhjørning, enhjørning?,0.09090909090909091,3
enhjørning, Ingebrigtsen..,0.7857142857142857,3
enhjørning, Ingening,0.625,5
enhjørning, en hjørning?,0.16666666666666666,3
enhjørning, er du enig?,0.7272727272727273,2
enhjørning, enigjøring?,0.36363636363636365,5
enhjørning, Erna..,1.3333333333333333,1
enhjørning, Enking..,1.0,2
enhjørning, Enhjørning,0.1,5
enhjørning, enighøring?,0.45454545454545453,5
enhjørning, Engjørning,0.2,4
enhjørning, Enhjørning,0.1,5
enhjørning, Enhjørning,0.1,5
enhjørning, jannin?,0.8571428571428571,2
enhjørning, Enareen..,0.8888888888888888,2
enhjørning, en nøling?,0.5,3
enhjørning, enhjørninger?,0.23076923076923078,3
enhjørning, Enhjørning..,0.25,5
enhjørning, enhjørning?,0.09090909090909091,5
enhjørning, enhjørning?,0.09090909090909091,4
enhjørning, En hjørning,0.18181818181818182,3
enhjørning, Jeg gjør det,0.6666666666666666,2
enhjørning, Hjernehjørning,0.2857142857142857,5
enhjørning, Å..,3.3333333333333335,3
enhjørning, hjørning?,0.3333333333333333,4
enhjørning, En gjerning,0.36363636363636365,5
enhjørning, Jernøyneins,0.6363636363636364,1
enhjørning, er det røring?,0.6428571428571429,2
enhjørning, enigaringen?,0.5833333333333334,3
enhjørning, eller... hysj!,0.9285714285714286,5
enhjørning, Enhjørning..,0.25,3
enhjørning, En honning,0.5,5
enhjørning, en hjørning?,0.16666666666666666,4
enhjørning, en bjørning?,0.25,3
enhjørning, Enhjørning,0.1,4
enhjørning, En hjørning,0.18181818181818182,4
enhjørning, Mio,3.0,5
enhjørning, er du glad?,0.9090909090909091,2
enhjørning, enhyrning?,0.3,5
enhjørning, Enhjørning,0.1,4
enhjørning, En honning,0.5,3
enhjørning, Enhjørning,0.1,5
enhjørning, Er det..,1.25,2
enhjørning, en gjørning?,0.25,2
enhjørning, Inni,1.75,3
enhjørning, Ja..,2.5,1
enhjørning, Enhjørning,0.1,4
enhjørning, En ny honning,0.6153846153846154,3
enhjørning, Enhjørning,0.1,5
glass, Lars,0.75,4
glass, Gårds,0.8,4
glass, Cross,0.6,3
glass, colas!,0.5,5
glass, Køddas,0.8333333333333334,5
glass, glass!,0.16666666666666666,4
glass, Kross,0.6,3
glass, Grøss,0.6,3
glass, Grosh,0.8,1
glass, voff?,1.0,3
glass, bra!,1.0,3
glass, Glass,0.2,5
glass, ja da!,1.0,4
glass, Glass,0.2,5
glass, gass!,0.4,5
glass, Lars,0.75,4
glass, Cross..,0.7142857142857143,2
glass, Glaff,0.6,3
glass, glash!,0.3333333333333333,4
glass, Glass,0.2,5
glass, Kross,0.6,3
glass, Dess,0.75,3
glass, Gress,0.6,3
glass," Var det, ass",0.75,4
glass, Brøs,1.0,3
glass, Glass,0.2,5
glass, Glass,0.2,5
glass, hva er det?,0.9090909090909091,2
glass, Gå vekk,1.0,1
glass, gress?,0.5,3
glass, Bros,1.0,3
glass, Glas,0.5,5
glass, Glass,0.2,4
glass, Glass,0.2,5
glass, Gras,0.75,3
glass, hvordan?,0.875,4
glass, Glass,0.2,5
glass, Greit,1.0,4
glass, Glass,0.2,5
glass, Glass,0.2,5
glass, Las,1.0,5
glass, Gress,0.6,4
glass, God dag,1.0,1
glass, Glass,0.2,5
glass, Glass,0.2,5
glass, Grøs,1.0,2
glass, Greit,1.0,4
glass, lask?,0.6,3
glass, Glas,0.5,5
glass, glass!,0.16666666666666666,5
glass, går det sånn?,0.8461538461538461,5
glass, Grøss,0.6,3
bra, Bla,0.6666666666666666,3
bra, Bra,0.3333333333333333,3
bra, Bra,0.3333333333333333,3
bra, Bra,0.3333333333333333,4
bra, Bra,0.3333333333333333,5
bra, Bra,0.3333333333333333,5
bra, Bra,0.3333333333333333,5
bra, bra!,0.25,3
bra, Bra,0.3333333333333333,4
bra, Dra,0.3333333333333333,3
bra, Dra,0.3333333333333333,3
bra, Blad,0.75,3
bra, Bra,0.3333333333333333,4
bra, Bra,0.3333333333333333,5
bra, Bra,0.3333333333333333,5
bra, Bra,0.3333333333333333,3
bra, Bra,0.3333333333333333,5
bra, Bra,0.3333333333333333,4
bra, Bra,0.3333333333333333,5
bra, Bra,0.3333333333333333,4
syl, Sild,0.75,4
syl, Sylud,0.6,4
syl, Skyld,0.6,5
syl, Sild,0.75,4
syl, Sild,0.75,3
syl, Syl,0.3333333333333333,4
syl, Sia..,1.0,3
syl, Stil,0.75,5
syl, Synd,0.75,3
syl, Syl,0.3333333333333333,3
syl, Sild,0.75,4
syl, Sil,0.6666666666666666,3
syl, Syn,0.6666666666666666,3
syl, Syl,0.3333333333333333,3
syl, Syv,0.6666666666666666,4
syl, Kil,0.6666666666666666,3
syl, Sild,0.75,4
syl, Skyld,0.6,4
syl, Skyl,0.5,5
syl, Kil,0.6666666666666666,3
løpe, Løpet,0.4,4
løpe, Løpet,0.4,4
løpe, lope?,0.4,4
løpe, Løpe,0.25,5
løpe, Løpet,0.4,3
løpe, Loppe,0.6,3
løpe, Loppe,0.6,3
løpe, Løpe,0.25,5
løpe, Løpe,0.25,5
løpe, Løper,0.4,4
løpe, Låpe,0.5,3
løpe, Løpe,0.25,4
løpe, løper jeg?,0.6,4
løpe, Løpe,0.25,5
løpe, Løpe,0.25,5
løpe, Låpe..,0.6666666666666666,4
løpe, Løpe,0.25,4
løpe, Løpe,0.25,4
løpe, Løpet,0.4,4
løpe, løpe?,0.2,4
løpe, Løpe,0.25,5
løpe, Løpe..,0.5,5
løpe, Løpe,0.25,4
løpe, Møte,0.5,4
løpe, Løpe,0.25,4
løpe, Løte,0.5,4
løpe, Løpe,0.25,4
løpe, Løpe,0.25,3
løpe, Ja,2.0,3
løpe, Løpe,0.25,5
løpe, Løp,0.6666666666666666,2
løpe, Lepp,0.75,1
løpe, Hun løper,0.5555555555555556,5
løpe, Løpe,0.25,5
løpe, Løpe..,0.5,5
løpe, Løper,0.4,3
løpe, Løpe,0.25,5
løpe, Løpe,0.25,5
løpe, Løpe..,0.5,5
løpe, Løpe,0.25,5
løpe, Skvøper,0.5714285714285714,3
løpe, Løpe,0.25,4
løpe, Nå,2.0,2
løpe, Blubber,0.7142857142857143,3
løpe, Knøtet..,0.75,4
løpe, Løpe,0.25,5
løpe, Løpe,0.25,5
løpe, løpe?,0.2,4
løpe, Løpe,0.25,3
rund, rom?,0.75,3
rund, Rødhund,0.5714285714285714,5
rund, Rundt,0.4,5
rund, hva da?,0.8571428571428571,1
rund, Har hun..,0.6666666666666666,4
rund, Unnskyld,0.75,5
rund, Rund,0.25,5
rund, Hull..,0.8333333333333334,3
rund, ron?,0.5,3
rund, Grunn..,0.5714285714285714,3
rund, Rund,0.25,5
rund, Nei,1.3333333333333333,1
rund, Rundt,0.4,5
rund, Erun..,0.5,4
rund, Grønn,0.6,3
rund, Ha det,0.8333333333333334,1
rund, Jeg vil,1.0,4
rund, Rund,0.25,5
rund, Rund,0.25,5
rund, Rund,0.25,5
rund, bjørn?,0.8333333333333334,2
rund, tror du?,0.75,1
rund, hallo!,1.0,4
rund, hvordan?,0.75,5
rund, Rund,0.25,5
rund, er du?,0.8333333333333334,3
rund, Lund,0.25,4
rund, er hun?,0.5714285714285714,4
rund, Rund,0.25,5
rund, Runden,0.5,5
rund, Rund,0.25,3
rund, er den...?,0.8,4
rund, Junn,0.5,3
rund, Rom..,1.0,5
rund, Røyng,0.8,3
rund, Rund,0.25,5
rund, Brinn,0.6,2
rund, Rund,0.25,5
rund, Rund,0.25,5
rund, Rund,0.25,5
rund, Rund,0.25,5
rund, Ren,1.0,4
rund, Lund,0.25,3
rund, En dronning,0.8181818181818182,3
rund, Rund,0.25,5
rund, Rom,1.3333333333333333,4
rund, Rund,0.25,5
rund, Rund,0.25,5
rund, Prøv,1.0,4
rund, Rund,0.25,5
rund, Rull,0.75,4
bror, Bror,0.25,5
bror, Det tror..,0.7,4
bror, Bror,0.25,5
bror, Bror..,0.5,2
bror, Broder,0.5,3
bror, bror?,0.2,4
bror, Bror,0.25,5
bror, Bror,0.25,3
bror, Bror,0.25,4
bror, Bror,0.25,5
bror, blir du?,0.75,3
bror, bursdag?,0.75,3
bror, Bror..,0.5,5
bror, Bror,0.25,4
bror, Fruer..,0.7142857142857143,3
bror, Blod,0.75,2
bror, hvordan går det?,0.875,3
bror, Bryr..,0.6666666666666666,2
bror, Bror,0.25,5
bror, Fjord,0.6,4
bror, bror?,0.2,3
bror, er det mulig?,0.9230769230769231,1
bror, Bror,0.25,4
bror, mor?,0.75,3
bror, Prol,0.5,2
bror, Ror,0.6666666666666666,4
bror, Bioi,0.75,3
bror, Beror..,0.5714285714285714,4
bror, Bros,0.5,2
bror, Splutt,1.0,2
bror, Stor? Endelig større bruk,0.92,5
bror, Bror,0.25,3
bror, Bror,0.25,3
bror, Beror,0.4,4
bror, Bror,0.25,5
bror, Blod,0.75,3
bror, bravor?,0.42857142857142855,1
bror, Bror,0.25,3
bror, moro?,0.6,2
bror, Beror..,0.5714285714285714,4
bror, Bror,0.25,5
bror, Bror,0.25,3
bror, Bror,0.25,5
bror, Nå,2.0,3
bror, Bror,0.25,4
bror, Dror,0.25,4
bror, Bror,0.25,3
bror, Bror,0.25,3
bror, Bror..,0.5,5
bror, Ro,1.5,5
bror, Jeg tror,0.625,3
kvern, Hver,0.5,3
kvern, hva er den?,0.6363636363636364,2
kvern, hvem er?,0.625,4
kvern, Kval,1.0,4
kvern, Kveld,0.6,3
kvern, gorran?,0.7142857142857143,2
kvern, Vel..,1.0,3
kvern," Ja, sånn",0.875,1
kvern, kvan?,0.6,3
kvern, Kvæb,1.0,3
kvern, kveld?,0.5,4
kvern, kva er den?,0.5454545454545454,3
kvern, Kval,1.0,5
kvern, Barn,0.75,3
kvern, Kvalm,0.8,3
kvern, cran?,1.0,3
kvern, Kvern,0.2,5
kvern, Kvelden kommer til pause,0.875,5
kvern, hva er det?,0.7272727272727273,5
kvern, Hvor..,0.6666666666666666,2
kvern, hva...?,0.8571428571428571,3
kvern, Kveld,0.6,4
kvern, Kvern,0.2,4
kvern, Kremt,0.8,3
kvern, kvern?,0.16666666666666666,5
kvern, Kveld..,0.7142857142857143,5
kvern, kjelen?,0.5714285714285714,2
kvern, Du har den,0.8,3
kvern, For..,1.0,3
kvern, Kværen,0.5,5
kvern, kven?,0.4,2
kvern, hva var det?,0.8333333333333334,4
kvern, Den..,1.0,3
kvern, kva da?,0.7142857142857143,3
kvern, Takk,1.25,4
kvern, Kværen,0.5,4
kvern, Grønn..,0.8571428571428571,4
kvern, kveil?,0.5,5
kvern, Ja,2.5,2
kvern, Tovel..,0.7142857142857143,2
kvern, klar?,0.6,5
kvern, hvem er du?,0.7272727272727273,3
kvern, kvalifisering!,0.6428571428571429,5
kvern, kvaen?,0.5,3
kvern, Kværen,0.5,5
kvern, Kveld,0.6,4
kvern, Klar,1.0,2
huske, Huske,0.2,5
huske, huske?,0.16666666666666666,5
huske, Vet ikke,0.75,2
huske, Fisker..,0.625,2
huske, huske?,0.16666666666666666,3
huske, Huske,0.2,4
huske, huske?,0.16666666666666666,5
huske, Huske,0.2,5
huske, Huske..,0.42857142857142855,3
huske, huske?,0.16666666666666666,4
huske, Huske,0.2,3
huske, Huske..,0.42857142857142855,3
huske, Huske,0.2,3
huske, huske?,0.16666666666666666,2
huske, Huske..,0.42857142857142855,5
huske, Huske,0.2,5
huske, Busker,0.3333333333333333,2
huske, huske?,0.16666666666666666,5
huske, osto?,1.0,4
huske, Huske,0.2,4
huske, Huske,0.2,5
huske, Huske,0.2,5
huske, Huske,0.2,4
huske, huske?,0.16666666666666666,3
huske, Hysje..,0.7142857142857143,3
huske, Du huske,0.375,3
huske, Huske..,0.42857142857142855,4
huske, Huske..,0.42857142857142855,5
huske, Busker,0.3333333333333333,3
huske, huske?,0.16666666666666666,3
huske, hvor skal du?,0.7692307692307693,2
huske, Huske,0.2,3
huske, Huske,0.2,4
huske, Huske..,0.42857142857142855,5
huske, Huske..,0.42857142857142855,3
huske, Burske,0.3333333333333333,3
huske, Huske,0.2,5
huske, Ruske,0.2,3
huske, huske?,0.16666666666666666,5
huske, Huske,0.2,5
huske, husket!,0.2857142857142857,3
huske, Burske,0.3333333333333333,2
huske, Huske,0.2,5
huske, Hyske,0.4,3
huske, huske?,0.16666666666666666,3
huske, Pusker,0.3333333333333333,3
huske, Huske,0.2,3
huske, Huske,0.2,5
huske, Huske,0.2,3
huske, Huske,0.2,5
huske, Huske,0.2,4
huske, hva faen?,0.7777777777777778,4
trikk, Trykk,0.4,4
trikk, Drip,0.75,3
trikk, Trygg,0.8,3
trikk, Trykk,0.4,3
trikk, Trykk,0.4,3
trikk, Trykk,0.4,4
trikk, så ligg!,0.875,3
trikk, Et rykk,0.42857142857142855,3
trikk, Drygg,0.8,3
trikk, Drikk,0.2,4
trikk, Tørrik,0.6666666666666666,3
trikk, Trykk,0.4,4
trikk, Trykk,0.4,3
trikk, Trykk,0.4,3
trikk, Et trykk,0.5,2
trikk, Tryk,0.75,3
trikk, Tryk,0.75,3
trikk, Trykk,0.4,3
trikk, Trykk,0.4,3
trikk, Trykk,0.4,3
tær, Der,0.6666666666666666,4
tær, Tær,0.3333333333333333,5
tær, Tall..,1.0,3
tær, Tær..,0.6,4
tær, Tær,0.3333333333333333,5
tær, Der,0.6666666666666666,5
tær, Der,0.6666666666666666,3
tær, Tær,0.3333333333333333,4
tær, Der,0.6666666666666666,3
tær, Dør,0.6666666666666666,4
tær, Der,0.6666666666666666,3
tær, Tær,0.3333333333333333,5
tær, Tær,0.3333333333333333,5
tær, Tær,0.3333333333333333,4
tær, Ta det,1.0,3
tær, Tær,0.3333333333333333,5
tær, Tar..,0.8,4
tær, Tad..,1.0,3
tær, Der,0.6666666666666666,3
tær, Der,0.6666666666666666,5
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel..,0.375,4
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,3
sykkel, Sykkel..,0.375,5
sykkel, Sikkel,0.3333333333333333,4
sykkel, Kikkel,0.3333333333333333,3
sykkel, Sikkel,0.3333333333333333,4
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,4
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,4
sykkel, Sikker,0.5,4
sykkel, Kikkel,0.3333333333333333,5
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,4
sykkel, Sikkel,0.3333333333333333,4
sykkel, Sikkel,0.3333333333333333,5
sykkel, sitt!,1.0,4
sykkel, Stykkel..,0.4444444444444444,5
sykkel, Sett deg ned,0.9166666666666666,2
sykkel, Sykkel,0.16666666666666666,4
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,4
sykkel, Secure,1.0,3
sykkel, Sykkel,0.16666666666666666,5
sykkel," Sekk, ja",0.75,2
sykkel, sykkel?,0.14285714285714285,5
sykkel, Sikker,0.5,5
sykkel, Sykkel..,0.375,5
sykkel, Sykkel,0.16666666666666666,5
sykkel, OK,3.0,5
sykkel, Kikker,0.5,4
sykkel, Søkkel,0.3333333333333333,3
sykkel, Sikker..,0.625,4
sykkel, Sykkel,0.16666666666666666,4
sykkel, Sikkel,0.3333333333333333,5
sykkel, Sykkel,0.16666666666666666,4
sykkel, sykkel!,0.14285714285714285,5
sykkel, sikker?,0.42857142857142855,4
sykkel, Sykkel,0.16666666666666666,2
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sikker,0.5,5
sykkel, sikke?,0.3333333333333333,3
sykkel, Skull,0.8,3
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,5
sykkel, Sykkel,0.16666666666666666,5
sykkel, Skuld,1.0,3
sykkel, Sirkel,0.5,5
sykkel, Sikker,0.5,5
koffert, Koffert..,0.3333333333333333,4
koffert, Coofage,0.7142857142857143,3
koffert, koffert?,0.125,4
koffert, Koffert..,0.3333333333333333,5
koffert, hvorfor...?,0.7272727272727273,4
koffert, Gopus,1.2,3
koffert, Koffert,0.14285714285714285,4
koffert, Koffert,0.14285714285714285,5
koffert, Koffert,0.14285714285714285,4
koffert, Good fritch,0.7272727272727273,4
koffert, Koffert,0.14285714285714285,5
koffert, Krosert,0.5714285714285714,3
koffert, Koffert..,0.3333333333333333,5
koffert, hvorfor ikke?,0.7692307692307693,3
koffert, Kosert,0.5,5
koffert, Koffert,0.14285714285714285,5
koffert, Goffelt,0.2857142857142857,4
koffert, Guffert,0.2857142857142857,3
koffert, Koffert,0.14285714285714285,5
koffert, Koffert..,0.3333333333333333,3
koffert, Gå fort,0.5714285714285714,4
koffert, Koffert..,0.3333333333333333,5
koffert, Koffert..,0.3333333333333333,5
koffert, Koffert,0.14285714285714285,5
koffert, Guffe,0.8,4
koffert, Kuffet,0.5,3
koffert, Koffert,0.14285714285714285,5
koffert, Koffert,0.14285714285714285,4
koffert, Koffert,0.14285714285714285,3
koffert, Godført,0.42857142857142855,2
koffert, Koffert,0.14285714285714285,4
